measure	vote	when
hconres-398	Senate 110-2-196	2008-07-31, after the last version committed (2008-07-30)
hr-2	Senate 110-1-20	2007-01-23, after the last version committed (2007-01-11)
hr-2	Senate 110-1-21	2007-01-23, after the last version committed (2007-01-11)
hr-2	Senate 110-1-22	2007-01-24, after the last version committed (2007-01-11)
hr-2	Senate 110-1-23	2007-01-24, after the last version committed (2007-01-11)
hr-2	Senate 110-1-24	2007-01-24, after the last version committed (2007-01-11)
hr-2	Senate 110-1-25	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-26	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-27	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-28	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-29	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-30	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-31	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-32	2007-01-25, after the last version committed (2007-01-11)
hr-2	Senate 110-1-34	2007-01-30, after the last version committed (2007-01-11)
hr-2	Senate 110-1-37	2007-01-31, after the last version committed (2007-01-11)
hr-2	Senate 110-1-38	2007-01-31, after the last version committed (2007-01-11)
hr-2	Senate 110-1-39	2007-01-31, after the last version committed (2007-01-11)
hr-2	Senate 110-1-42	2007-02-01, after the last version committed (2007-01-11)
hr-6	House 110-1-1177	2007-12-18, after the last version committed (2007-12-07)
hr-6	Senate 110-1-425	2007-12-13, after the last version committed (2007-12-07)
hr-6	Senate 110-1-430	2007-12-13, after the last version committed (2007-12-07)
hr-327	House 110-1-987	2007-10-23, after the last version committed (2007-03-22)
hr-556	House 110-1-614	2007-07-11, after the last version committed (2007-03-01)
hr-800	Senate 110-1-227	2007-06-26, after the last version committed (2007-03-02)
hr-980	Senate 110-2-126	2008-05-13, after the last version committed (2007-07-20)
hr-980	Senate 110-2-127	2008-05-14, after the last version committed (2007-07-20)
hr-1585	House 110-1-1127	2007-12-05, after the last version committed (2007-06-05)
hr-1585	House 110-1-1128	2007-12-05, after the last version committed (2007-06-05)
hr-1585	House 110-1-1151	2007-12-12, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-241	2007-07-11, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-242	2007-07-11, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-243	2007-07-11, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-244	2007-07-11, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-245	2007-07-12, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-246	2007-07-12, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-247	2007-07-13, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-248	2007-07-17, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-252	2007-07-18, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-340	2007-09-19, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-341	2007-09-19, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-342	2007-09-19, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-343	2007-09-20, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-344	2007-09-20, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-345	2007-09-20, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-346	2007-09-21, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-348	2007-09-26, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-349	2007-09-26, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-350	2007-09-27, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-351	2007-09-27, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-356	2007-09-27, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-357	2007-09-27, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-358	2007-10-01, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-359	2007-10-01, after the last version committed (2007-06-05)
hr-1585	Senate 110-1-433	2007-12-14, after the last version committed (2007-06-05)
